未登録ユーザー,test@test.com,unregisterd user,0,0,0,0,未登録,FALSE,,0,0,0,0,0,1
武田 修平,ec05@ezweb.ne.jp,manamiyuriko,23,0,14,11,大学院生,FALSE,俺が、俺たちがワインマスターだ！,1000,10000000,530000,5,1000,2
二宮 宇宙,h6tIoaT1yv8Ev@tukuba.ac.jp,oBmEDhCD,60,0,35,18,配管工,TRUE,朕は渋いワインが好き。,1,418,286,410,1,3
七井 瑞穂,SGtjV9Z3@hardbank.ne.jp,PDcDK60X,32,0,42,2,銀行員,FALSE,朕は渋いワインが好きよ！,2,661,766,131,2,4
一之瀬 優希,-ExK2UkAbx6@wiicom.com,yEkOTgO3,59,0,30,11,漁師,FALSE,俺は辛いワインが好きぞ！,3,371,484,212,3,5
五十嵐 宇宙,LMYJd430y3svxwE-@hero.ne.jp,wc8VoUxN,93,,24,8,小説家,,私は渋いワインが好きです。,4,229,670,126,4,6
七井 権三,-qykB83Yzj-DrO8u@bodafone.ne.jp,sRPhvRsH,55,0,21,11,料理人,TRUE,我は甘いワインが好き。,5,682,518,433,5,7
四条 守,v4FyHW@yafoo.co.jp,7z94jDdA,,1,34,19,公務員,TRUE,ミーは辛いワインが好きぞ！,6,250,45,491,6,8
五十嵐 賢二,Vf5g37T_FhjotJdpF@hardbank.ne.jp,0kDQaiWH,54,0,8,29,小説家,FALSE,私は辛いワインが好きよ！,7,107,73,952,7,9
三本松 優希,jyd5-Qeb2XAtB4k3fWLC@ibarakgi.ac.jp,YufURHGi,,1,25,16,銀行員,FALSE,我は苦いワインが好きぞ！,8,944,830,57,8,10
九十九 宇宙,kcJlFP1t@hero.ne.jp,eImmszgg,,1,20,19,システムエンジニア,,私は美味しいワインが好き。,9,966,644,212,9,11
四条 瑞穂,DpOAZU-OejsyIyX@wiicom.com,xdAJQieG,98,,7,5,役者,TRUE,朕は美味しいワインが好き。,10,849,912,819,10,12
三本松 守,xxn8uPHr4_M21__c0o_Y@bodafone.ne.jp,CQ3ZOUlJ,20,1,2,1,役者,,俺は美味しいワインが好きですわ。,11,665,129,968,11,13
三本松 中,LwOg41uaZ_a@bezew.ne.jp,StnIaCL8,,0,45,18,小説家,FALSE,ミーは辛いワインが好きよ！,12,251,96,261,12,14
九十九 優希,Aqe2dylHU@tukuba.ac.jp,ChITqaal,31,0,37,6,プロ野球選手,FALSE,朕は酸っぱいワインが好きよ！,13,852,754,760,13,15
